time,Queue_1_load,Queue_2_load,Queue_3_load,Queue_4_load
14.530029999999964,,,,0.0
14.599999999999964,0.0,0.0,0.0,
14.630029999999964,,,,0.0
14.699999999999964,0.0,0.0,0.0,
14.730029999999964,,,,0.0
14.799999999999963,0.0,0.0,0.0,
14.830029999999963,,,,0.0
14.899999999999963,0.0,0.0,0.0,
14.930029999999963,,,,0.0
14.999999999999963,0.0,0.0,0.0,
15.030029999999963,,,,0.0
15.099999999999962,0.0,0.0,0.0,
15.130029999999962,,,,0.0
15.199999999999962,0.0,0.0,0.0,
15.230029999999962,,,,0.0
15.299999999999962,0.0,0.0,0.0,
15.330029999999962,,,,0.0
15.399999999999961,0.0,0.0,0.0,
15.430029999999961,,,,0.0
15.499999999999961,0.0,0.0,0.0,
15.530029999999961,,,,0.0
15.59999999999996,0.0,0.0,0.0,
15.63002999999996,,,,0.0
15.69999999999996,0.0,0.0,0.0,
15.73002999999996,,,,0.0
15.79999999999996,0.0,0.0,0.0,
15.83002999999996,,,,0.0
15.89999999999996,0.0,0.0,0.0,
15.93002999999996,,,,0.0
15.99999999999996,0.0,0.0,0.0,
16.03002999999996,,,,0.0
16.09999999999996,0.0,0.0,0.0,
16.130029999999962,,,,0.0
16.19999999999996,0.0,0.0,0.0,
16.230029999999964,,,,0.0
16.29999999999996,0.0,0.0,0.0,
16.330029999999965,,,,0.0
16.399999999999963,0.0,0.0,0.0,
16.430029999999967,,,,0.0
16.499999999999964,0.0,0.0,0.0,
16.530029999999968,,,,0.0
16.599999999999966,0.0,0.0,0.0,
16.63002999999997,,,,0.0
16.699999999999967,0.0,0.0,0.0,
16.73002999999997,,,,0.0
16.79999999999997,0.0,0.0,0.0,
16.830029999999972,,,,0.0
16.89999999999997,0.0,0.0,0.0,
16.930029999999974,,,,0.0
16.99999999999997,0.0,0.0,0.0,
17.030029999999975,,,,0.0
17.099999999999973,0.0,0.0,0.0,
17.130029999999977,,,,0.0
17.199999999999974,0.0,0.0,0.0,
17.230029999999978,,,,0.0
17.299999999999976,0.0,0.0,0.0,
17.33002999999998,,,,0.0
17.399999999999977,0.0,0.0,0.0,
17.43002999999998,,,,0.0
17.49999999999998,0.0,0.0,0.0,
17.530029999999982,,,,0.0
17.59999999999998,0.0,0.0,0.0,
17.630029999999984,,,,0.0
17.69999999999998,0.0,0.0,0.0,
17.730029999999985,,,,0.0
17.799999999999983,0.0,0.0,0.0,
17.830029999999987,,,,0.0
17.899999999999984,0.0,0.0,0.0,
17.930029999999988,,,,0.0
17.999999999999986,0.0,0.0,0.0,
18.03002999999999,,,,0.0
18.099999999999987,0.0,0.0,0.0,
18.13002999999999,,,,0.0
18.19999999999999,0.0,0.0,0.0,
18.230029999999992,,,,0.0
18.29999999999999,0.0,0.0,0.0,
18.330029999999994,,,,0.0
18.39999999999999,0.0,0.0,0.0,
18.430029999999995,,,,0.0
18.499999999999993,0.0,0.0,0.0,
18.530029999999996,,,,0.0
18.599999999999994,0.0,0.0,0.0,
18.630029999999998,,,,0.0
18.699999999999996,0.0,0.0,0.0,
18.73003,,,,0.0
18.799999999999997,0.0,0.0,0.0,
18.83003,,,,0.0
18.9,0.0,0.0,0.0,
18.930030000000002,,,,0.0
19.0,0.0,0.0,0.0,
19.030030000000004,,,,0.0
19.1,0.0,0.0,0.0,
19.130030000000005,,,,0.0
19.200000000000003,0.0,0.0,0.0,
19.230030000000006,,,,0.0
19.300000000000004,0.0,0.0,0.0,
19.330030000000008,,,,0.0
19.400000000000006,0.0,0.0,0.0,
19.43003000000001,,,,0.0
19.500000000000007,0.0,0.0,0.0,
19.53003000000001,,,,0.0
19.60000000000001,0.0,0.0,0.0,
19.630030000000012,,,,0.0
19.70000000000001,0.0,0.0,0.0,
19.730030000000014,,,,0.0
19.80000000000001,0.0,0.0,0.0,
19.830030000000015,,,,0.0
19.900000000000013,0.0,0.0,0.0,
19.930030000000016,,,,0.0
20.000000000000014,0.0,0.0,0.0,
20.030030000000018,,,,0.0
20.100000000000016,0.0,0.0,0.0,
20.13003000000002,,,,0.0
20.200000000000017,0.0,0.0,0.0,
20.23003000000002,,,,0.0
20.30000000000002,0.0,0.0,0.0,
20.330030000000022,,,,0.0
20.40000000000002,0.0,0.0,0.0,
20.430030000000023,,,,0.0
20.50000000000002,0.0,0.0,0.0,
20.530030000000025,,,,0.0
20.600000000000023,0.0,0.0,0.0,
20.630030000000026,,,,0.0
20.700000000000024,0.0,0.0,0.0,
20.730030000000028,,,,0.0
20.800000000000026,0.0,0.0,0.0,
20.83003000000003,,,,0.0
20.900000000000027,0.0,0.0,0.0,
20.93003000000003,,,,0.0
21.00000000000003,0.0,0.0,0.0,
21.030030000000032,,,,0.0
21.10000000000003,0.0,0.0,0.0,
21.130030000000033,,,,0.0
21.20000000000003,0.0,0.0,0.0,
21.230030000000035,,,,0.0
21.300000000000033,0.0,0.0,0.0,
21.330030000000036,,,,0.0
21.400000000000034,0.0,0.0,0.0,
21.430030000000038,,,,0.0
21.500000000000036,0.0,0.0,0.0,
21.53003000000004,,,,0.0
21.600000000000037,0.0,0.0,0.0,
21.63003000000004,,,,0.0
21.70000000000004,0.0,0.0,0.0,
21.730030000000042,,,,0.0
21.80000000000004,0.0,0.0,0.0,
21.830030000000043,,,,0.0
21.90000000000004,0.0,0.0,0.0,
21.930030000000045,,,,0.0
22.000000000000043,0.0,0.0,0.0,
22.030030000000046,,,,0.0
22.100000000000044,0.0,0.0,0.0,
22.130030000000048,,,,0.0
22.200000000000045,0.0,0.0,0.0,
22.23003000000005,,,,0.0
22.300000000000047,0.0,0.0,0.0,
22.33003000000005,,,,0.0
22.40000000000005,0.0,0.0,0.0,
22.430030000000052,,,,0.0
22.50000000000005,0.0,0.0,0.0,
22.530030000000053,,,,0.0
22.60000000000005,0.0,0.0,0.0,
22.630030000000055,,,,0.0
22.700000000000053,0.0,0.0,0.0,
22.730030000000056,,,,0.0
22.800000000000054,0.0,0.0,0.0,
22.830030000000058,,,,0.0
22.900000000000055,0.0,0.0,0.0,
22.93003000000006,,,,0.0
23.000000000000057,0.0,0.0,0.0,
23.03003000000006,,,,0.0
23.10000000000006,0.0,0.0,0.0,
23.130030000000062,,,,0.0
23.20000000000006,0.0,0.0,0.0,
23.230030000000063,,,,0.0
23.30000000000006,0.0,0.0,0.0,
23.330030000000065,,,,0.0
23.400000000000063,0.0,0.0,0.0,
23.430030000000066,,,,0.0
23.500000000000064,0.0,0.0,0.0,
23.530030000000068,,,,0.0
23.600000000000065,0.0,0.0,0.0,
23.63003000000007,,,,0.0
23.700000000000067,0.0,0.0,0.0,
23.73003000000007,,,,0.0
23.800000000000068,0.0,0.0,0.0,
23.83003000000007,,,,0.0
23.90000000000007,0.0,0.0,0.0,
23.930030000000073,,,,0.0
24.00000000000007,0.0,0.0,0.0,
24.030030000000075,,,,0.0
24.100000000000072,0.0,0.0,0.0,
24.130030000000076,,,,0.0
24.200000000000074,0.0,0.0,0.0,
24.230030000000077,,,,0.0
24.300000000000075,0.0,0.0,0.0,
24.33003000000008,,,,0.0
24.400000000000077,0.0,0.0,0.0,
24.43003000000008,,,,0.0
24.500000000000078,0.0,0.0,0.0,
24.53003000000008,,,,0.0
24.60000000000008,0.0,0.0,0.0,
24.630030000000083,,,,0.0
24.70000000000008,0.0,0.0,0.0,
24.730030000000085,,,,0.0
24.800000000000082,0.0,0.0,0.0,
24.830030000000086,,,,0.0
24.900000000000084,0.0,0.0,0.0,
24.930030000000087,,,,0.0
25.000000000000085,0.0,0.0,0.0,
25.03003000000009,,,,0.0
25.100000000000087,0.0,0.0,0.0,
25.13003000000009,,,,0.0
25.200000000000088,0.0,0.0,0.0,
25.23003000000009,,,,0.0
25.30000000000009,0.0,0.0,0.0,
25.330030000000093,,,,0.0
25.40000000000009,0.0,0.0,0.0,
25.430030000000095,,,,0.0
25.500000000000092,0.0,0.0,0.0,
25.530030000000096,,,,0.0
25.600000000000094,0.0,0.0,0.0,
25.630030000000097,,,,0.0
25.700000000000095,0.0,0.0,0.0,
25.7300300000001,,,,0.0
25.800000000000097,0.0,0.0,0.0,
25.8300300000001,,,,0.0
25.900000000000098,0.0,0.0,0.0,
25.9300300000001,,,,0.0
26.0000000000001,0.0,0.0,0.0,
26.030030000000103,,,,0.0
26.1000000000001,0.0,0.0,0.0,
26.130030000000104,,,,0.0
26.200000000000102,0.0,0.0,0.0,
26.230030000000106,,,,0.0
26.300000000000104,0.0,0.0,0.0,
26.330030000000107,,,,0.0
26.400000000000105,0.0,0.0,0.0,
26.43003000000011,,,,0.0
26.500000000000107,0.0,0.0,0.0,
26.53003000000011,,,,0.0
26.600000000000108,0.0,0.0,0.0,
26.63003000000011,,,,0.0
26.70000000000011,0.0,0.0,0.0,
26.730030000000113,,,,0.0
26.80000000000011,0.0,0.0,0.0,
26.830030000000114,,,,0.0
26.900000000000112,0.0,0.0,0.0,
26.930030000000116,,,,0.0
27.000000000000114,0.0,0.0,0.0,
27.030030000000117,,,,0.0
27.100000000000115,0.0,0.0,0.0,
27.13003000000012,,,,0.0
27.200000000000117,0.0,0.0,0.0,
27.23003000000012,,,,0.0
27.300000000000118,0.0,0.0,0.0,
27.33003000000012,,,,0.0
27.40000000000012,0.0,0.0,0.0,
27.430030000000123,,,,0.0
27.50000000000012,0.0,0.0,0.0,
27.530030000000124,,,,0.0
27.600000000000122,0.0,0.0,0.0,
27.630030000000126,,,,0.0
27.700000000000124,0.0,0.0,0.0,
27.730030000000127,,,,0.0
27.800000000000125,0.0,0.0,0.0,
27.83003000000013,,,,0.0
27.900000000000126,0.0,0.0,0.0,
27.93003000000013,,,,0.0
28.000000000000128,0.0,0.0,0.0,
28.03003000000013,,,,0.0
28.10000000000013,0.0,0.0,0.0,
28.130030000000133,,,,0.0
28.20000000000013,0.0,0.0,0.0,
28.230030000000134,,,,0.0
28.300000000000132,0.0,0.0,0.0,
28.330030000000136,,,,0.0
28.400000000000134,0.0,0.0,0.0,
28.430030000000137,,,,0.0
28.500000000000135,0.0,0.0,0.0,
28.53003000000014,,,,0.0
28.600000000000136,0.0,0.0,0.0,
28.63003000000014,,,,0.0
28.700000000000138,0.0,0.0,0.0,
28.73003000000014,,,,0.0
28.80000000000014,0.0,0.0,0.0,
28.830030000000143,,,,0.0
28.90000000000014,0.0,0.0,0.0,
28.930030000000144,,,,0.0
29.000000000000142,0.0,0.0,0.0,
29.030030000000146,,,,0.0
29.100000000000144,0.0,0.0,0.0,
29.130030000000147,,,,0.0
29.200000000000145,0.0,0.0,0.0,
29.23003000000015,,,,0.0
29.300000000000146,0.0,0.0,0.0,
29.33003000000015,,,,0.0
29.400000000000148,0.0,0.0,0.0,
29.43003000000015,,,,0.0
29.50000000000015,0.0,0.0,0.0,
29.530030000000153,,,,0.0
29.60000000000015,0.0,0.0,0.0,
