time,Queue_1_load,Queue_2_load,Queue_3_load,Queue_4_load,Queue_5_load,Queue_6_load
3.070629999999987,,,41.0,,,
3.071399999999984,,,41.0,,,
3.071399999999984,,,40.0,,,
3.071479999999987,,,41.0,,,
3.072249999999984,,,41.0,,,
3.072249999999984,,,40.0,,,
3.0723299999999867,,,41.0,,,
3.0730999999999837,,,41.0,,,
3.0730999999999837,,,40.0,,,
3.0731799999999865,,,41.0,,,
3.0739499999999835,,,41.0,,,
3.0739499999999835,,,40.0,,,
3.0740299999999863,,,41.0,,,
3.0747999999999833,,,41.0,,,
3.0747999999999833,,,40.0,,,
3.074879999999986,,,41.0,,,
3.075649999999983,,,41.0,,,
3.075649999999983,,,40.0,,,
3.075729999999986,,,41.0,,,
3.076499999999983,,,41.0,,,
3.076499999999983,,,40.0,,,
3.0765799999999857,,,41.0,,,
3.0773499999999827,,,41.0,,,
3.0773499999999827,,,40.0,,,
3.0774299999999855,,,41.0,,,
3.0781999999999825,,,41.0,,,
3.0781999999999825,,,40.0,,,
3.0782799999999853,,,41.0,,,
3.0790499999999823,,,41.0,,,
3.0790499999999823,,,40.0,,,
3.079129999999985,,,41.0,,,
3.079899999999982,,,41.0,,,
3.079899999999982,,,40.0,,,
3.079979999999985,,,41.0,,,
3.080749999999982,,,41.0,,,
3.080749999999982,,,40.0,,,
3.0808299999999846,,,41.0,,,
3.0815999999999817,,,41.0,,,
3.0815999999999817,,,40.0,,,
3.0816799999999844,,,41.0,,,
3.0824499999999815,,,41.0,,,
3.0824499999999815,,,40.0,,,
3.0825299999999842,,,41.0,,,
3.0832999999999813,,,41.0,,,
3.0832999999999813,,,40.0,,,
3.083379999999984,,,41.0,,,
3.084149999999981,,,41.0,,,
3.084149999999981,,,40.0,,,
3.084229999999984,,,41.0,,,
3.084999999999981,,,41.0,,,
3.084999999999981,,,40.0,,,
3.0850799999999836,,,41.0,,,
3.0858499999999807,,,41.0,,,
3.0858499999999807,,,40.0,,,
3.0859299999999834,,,41.0,,,
3.0866999999999805,,,41.0,,,
3.0866999999999805,,,40.0,,,
3.086779999999983,,,41.0,,,
3.0875499999999803,,,41.0,,,
3.0875499999999803,,,40.0,,,
3.087629999999983,,,41.0,,,
3.08839999999998,,,41.0,,,
3.08839999999998,,,40.0,,,
3.088479999999983,,,41.0,,,
3.08924999999998,,,41.0,,,
3.08924999999998,,,40.0,,,
3.0893299999999826,,,41.0,,,
3.0900999999999796,,,41.0,,,
3.0900999999999796,,,40.0,,,
3.0901799999999824,,,41.0,,,
3.0909499999999794,,,41.0,,,
3.0909499999999794,,,40.0,,,
3.091029999999982,,,41.0,,,
3.0917999999999792,,,41.0,,,
3.0917999999999792,,,40.0,,,
3.091879999999982,,,41.0,,,
3.092649999999979,,,41.0,,,
3.092649999999979,,,40.0,,,
3.0927299999999818,,,41.0,,,
3.093499999999979,,,41.0,,,
3.093499999999979,,,40.0,,,
3.0935799999999816,,,41.0,,,
3.0943499999999786,,,41.0,,,
3.0943499999999786,,,40.0,,,
3.0944299999999814,,,41.0,,,
3.0951999999999784,,,41.0,,,
3.0951999999999784,,,40.0,,,
3.095279999999981,,,41.0,,,
3.096049999999978,,,41.0,,,
3.096049999999978,,,40.0,,,
3.096129999999981,,,41.0,,,
3.096899999999978,,,41.0,,,
3.096899999999978,,,40.0,,,
3.0969799999999807,,,41.0,,,
3.097749999999978,,,41.0,,,
3.097749999999978,,,40.0,,,
3.0978299999999805,,,41.0,,,
3.0985999999999776,,,41.0,,,
3.0985999999999776,,,40.0,,,
3.0986799999999803,,,41.0,,,
3.0994499999999774,,,41.0,,,
3.0994499999999774,,,40.0,,,
3.09952999999998,,,41.0,,,
3.1000000000000014,,,,0.0,0.0,0.0
3.1002600000000022,0.0,,,,,
3.100299999999977,,,41.0,,,
3.100299999999977,,,40.0,,,
3.10037999999998,,,41.0,,,
3.101149999999977,,,41.0,,,
3.101149999999977,,,40.0,,,
3.1012299999999797,,,41.0,,,
